id,questions,answers
2254,6306.573067296495,11915.901561177887
2255,6308.882371855762,11920.143221051883
2256,4826.806685422206,9811.185048460968
2257,4828.713569258588,9815.029266252437
2258,6315.810285533566,11932.868200673876
2259,6318.119590092833,11937.109860547873
2260,6320.428894652101,11941.351520421871
2261,6322.738199211369,11945.59318029587
2262,6325.0475037706365,11949.834840169866
2263,4840.154872276879,9838.094573001257
2264,4842.061756113261,9841.93879079273
2265,6331.97541744844,11962.559819791859
2266,6334.284722007707,11966.801479665855
2267,6336.594026566975,11971.043139539854
2268,6338.903331126243,11975.28479941385
2269,6341.212635685511,11979.526459287848
2270,4853.5030591315535,9865.00409754155
2271,4855.409942967935,9868.848315333023
2272,6348.140549363314,11992.25143890984
2273,6350.4498539225815,11996.493098783838
2274,6352.759158481849,12000.734758657834
2275,6355.068463041117,12004.976418531833
2276,6357.377767600385,12009.21807840583
2277,4866.851245986228,9891.913622081847
2278,4868.75812982261,9895.757839873317
2279,6364.305681278188,12021.943058027822
2280,6366.614985837456,12026.184717901819
2281,6368.924290396723,12030.426377775817
2282,6371.233594955991,12034.668037649813
2283,6373.542899515259,12038.909697523812
2284,4880.199432840901,9918.823146622137
2285,4882.106316677284,9922.66736441361
2286,6380.470813193062,12051.634677145803
2287,6382.78011775233,12055.876337019801
2288,6385.089422311597,12060.117996893798
2289,6387.398726870865,12064.359656767796
2290,6389.708031430133,12068.601316641792
2291,4893.547619695575,9945.73267116243
2292,4895.454503531957,9949.5768889539
2293,6396.635945107936,12081.326296263785
2294,6398.945249667204,12085.567956137782
2295,6401.254554226472,12089.80961601178
2296,6403.563858785739,12094.051275885777
2297,6405.873163345007,12098.292935759775
2298,4906.895806550249,9972.642195702723
2299,4908.802690386631,9976.486413494196
2300,6412.80107702281,12111.017915381766
2301,6415.110381582078,12115.259575255765
2302,6417.419686141346,12119.501235129761
2303,6419.728990700613,12123.74289500376
2304,6422.038295259881,12127.984554877756
2305,4920.2439934049235,9999.551720243016
2306,4922.150877241305,10003.39593803449
2307,6428.966208937684,12140.709534499749
2308,6431.275513496952,12144.951194373747
2309,6433.58481805622,12149.192854247744
2310,6435.8941226154875,12153.434514121742
2311,6438.203427174755,12157.676173995738
2312,4933.592180259597,10026.46124478331
2313,4935.499064095979,10030.305462574779
2314,6445.131340852558,12170.401153617731
2315,6447.440645411826,12174.642813491728
2316,6449.749949971094,12178.884473365726
2317,6452.059254530362,12183.126133239723
2318,6454.368559089629,12187.36779311372
2319,4946.940367114271,10053.370769323603
2320,4948.847250950653,10057.214987115072
2321,6461.2964727674325,12200.092772735712
2322,6463.6057773267,12204.33443260971
2323,6465.915081885968,12208.576092483707
2324,6468.224386445236,12212.817752357705
2325,6470.533691004503,12217.059412231702
2326,4960.288553968945,10080.280293863896
2327,4962.195437805327,10084.124511655365
2328,6477.461604682307,12229.784391853695
2329,6479.770909241574,12234.026051727691
2330,6482.080213800842,12238.26771160169
2331,6484.38951836011,12242.509371475686
2332,6486.698822919378,12246.751031349684
2333,4973.636740823619,10107.18981840419
2334,4975.543624660001,10111.034036195659
2335,6493.626736597181,12259.476010971675
2336,6495.9360411564485,12263.717670845674
2337,6498.245345715716,12267.95933071967
2338,6500.554650274984,12272.200990593668
2339,6502.863954834252,12276.442650467665
2340,4986.9849276782925,10134.099342944482
2341,4988.891811514674,10137.943560735952
2342,6509.791868512055,12289.167630089658
2343,6512.101173071323,12293.409289963654
2344,6514.41047763059,12297.650949837653
2345,6516.719782189858,12301.89260971165
2346,6519.029086749126,12306.134269585647
2347,5000.333114532967,10161.008867484776
2348,5002.2399983693485,10164.853085276245
2349,6525.957000426929,12318.85924920764
2350,6528.266304986197,12323.100909081637
2351,6530.575609545464,12327.342568955635
2352,6532.884914104732,12331.584228829632
2353,6535.194218664,12335.82588870363
2354,5013.681301387641,10187.918392025069
2355,5015.588185224023,10191.762609816538
2356,6542.122132341803,12348.550868325621
2357,6544.431436901071,12352.79252819962
2358,6546.7407414603385,12357.034188073616
2359,6549.050046019606,12361.275847947614
2360,6551.359350578874,12365.51750782161
2361,5027.029488242314,10214.827916565362
2362,5028.936372078697,10218.672134356832
2363,6558.287264256677,12378.242487443604
2364,6560.596568815945,12382.4841473176
2365,6562.905873375213,12386.725807191599
2366,6565.21517793448,12390.967467065595
2367,6567.524482493748,12395.209126939593
2368,5040.377675096988,10241.737441105655
2369,5042.28455893337,10245.581658897125
2370,6574.452396171551,12407.934106561584
2371,6576.761700730819,12412.175766435583
2372,6579.071005290087,12416.41742630958
2373,6581.3803098493545,12420.659086183578
2374,6583.689614408622,12424.900746057574
2375,5053.725861951662,10268.646965645949
2376,5055.632745788044,10272.491183437418
2377,6590.617528086425,12437.625725679567
2378,6592.926832645693,12441.867385553564
2379,6595.236137204961,12446.109045427562
2380,6597.545441764229,12450.350705301558
2381,6599.854746323496,12454.592365175557
2382,5067.074048806337,10295.556490186242
2383,5068.9809326427185,10299.400707977711
2384,6606.7826600012995,12467.317344797548
2385,6609.091964560567,12471.559004671546
2386,6611.401269119835,12475.800664545543
2387,6613.710573679103,12480.04232441954
2388,6616.01987823837,12484.283984293537
2389,5080.42223566101,10322.466014726531
2390,5082.329119497392,10326.310232518004
2391,6622.947791916174,12497.00896391553
2392,6625.257096475441,12501.250623789527
2393,6627.566401034709,12505.492283663525
2394,6629.875705593977,12509.733943537523
2395,6632.185010153245,12513.97560341152
2396,5093.770422515684,10349.375539266828
2397,5095.677306352066,10353.219757058298
2398,6639.112923831048,12526.700583033513
2399,6641.4222283903155,12530.94224290751
2400,6643.731532949583,12535.183902781508
2401,6646.040837508851,12539.425562655504
2402,6648.350142068119,12543.667222529502
2403,5107.118609370358,10376.285063807121
2404,5109.02549320674,10380.12928159859
2405,6655.278055745922,12556.392202151494
